Ngày,Số HĐ,TK Nợ,TK Có,Giá trị,Diễn giải
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,29,131,511,2632000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,29,131,511,568000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,30,131,511,3045000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,30,131,3331,0.0,VAT bán ra HĐ 30
2023-01-03,14,131,511,1650950.0,Bán ra: AL - SỮA ANLENE
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,30,131,511,5000000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,30,131,3331,0.0,VAT bán ra HĐ 30
2023-01-03,30,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,30,131,3331,0.0,VAT bán ra HĐ 30
2023-01-03,14,131,511,146038.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,32,131,511,147600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,32,131,3331,0.0,VAT bán ra HĐ 32
2023-01-03,32,131,511,1136000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,32,131,3331,0.0,VAT bán ra HĐ 32
2023-01-03,14,131,511,1236380.0,Bán ra: SN - NƯỚC KHOÁNG SANNA
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,32,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,32,131,3331,0.0,VAT bán ra HĐ 32
2023-01-03,14,131,511,111274.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,14,131,511,1372686.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,15,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,15,131,3331,0.0,VAT bán ra HĐ 15
